Ransomware dataset,,,,,,,,,
,,,,,,,,,
Company,Sector,Short description,Consequences,Ransom cost,Was ransom paid?,Date,Location,Group behind attack,Source
Crytek ,Technology ,game developer ,the gang claims they have stolen unencrypted files from Crytek and have leaked a 380MB archive on their data leak site.,Not communicated,Not communicated,Oct-20,Germany,Egregor ,https://www.bleepingcomputer.com/news/security/crytek-hit-by-egregor-ransomware-ubisoft-data-leaked/
Stats Perform ,Sports and data analytics,"Sports data provider includind daily fantasy sports, FanDuel, DraftKings and others.",spent the week following the attack rebuilding the servers.,Not communicated,Not communicated,Oct-20,UK,Not communicated,https://www.legalsportsreport.com/44946/stats-perform-cyber-attack-2/
Vastaamo,healthcare,psychotherapy center ,hijacked and published the mental health records of hundreds of patients ,"450,000 Euros",Yes,Oct-20,Finland,Not communicated,https://www.thenomadtoday.com/articulo/finland/scandal-over-the-hijack-and-and-publication-of-private-mental-health-data/20201023141903008599.html
Boyne Resorts,resort/leisure,golf and ski resort operator," affected their corporate offices and then spread to IT systems of the resorts they operate, forcing them to shut down portions of their network to prevent the ransomware spread.",Not communicated,No,Oct-20,USA,WastedLocker,https://www.bleepingcomputer.com/news/security/wastedlocker-ransomware-hits-boyne-resorts-ski-resort-operator/
Steelcase Furniture,manufacturing,"largest office furniture manufacturer globally, with 13,000 employees and $3.7 billion in revenues","company was forced to shut down the majority of its global order management, manufacturing and distribution systems. Plants were closed for two weeks. Workers were told to apply for unemployment.",Not communicated,Not communicated,Oct-20,USA,The Ryuk gang,https://securityaffairs.co/wordpress/110078/cyber-crime/steelcase-ryuk-ransomware-attack.html
Lawrence Health System,healthcare,Medical Centre,care continued to be provided to patients and its emergency and urgent care departments remained open and fully operational and most scheduled elective procedures were continuing as planned,Not communicated,Not communicated,Oct-20,USA,Not communicated,https://www.hipaajournal.com/sky-lakes-medical-center-and-st-lawrence-health-system-attacked-with-ransomware/
Hanover Chamber of Crafts,entertainment ,art centre,"experienced ransomware attacks at all four of its locations as well as the wholly owned subsidiary Projekt- und Servicegesellschaf, assume that all data from local networks has been fished,  particularly affected data from employees, Correspondence and data exchange, as well as with funding providers.",not communicated,Not communicated,Oct-20,Germany,REvil,https://www.databreaches.net/sodinokibi-ransomware-group-hits-the-hanover-chamber-of-crafts/
Gaming Partners International ,supplier ,Las Vegas where international casino equipment supplier,"hackers also exfiltrated more than 500 gigabytes of data during the breach including casino contracts, banking information and technical documents related to GPI products",Not communicated,Not communicated,Oct-20,USA,REvil,https://securityaffairs.co/wordpress/110237/cyber-crime/gaming-partners-international-revil-ransomware.html
Recover Our Youth ,non profit,"a program designed to combat the pressures from social media, bullying and the negative influences in our next generatio"," The files may have contained the following type of information:  Client’s name, address, social security number, other demographic information, and other intake and referral information, etc. ",Not communicated,Yes,Oct-20,USA,Not communicated,https://www.databreaches.net/recover-our-youth-notifies-clients-and-guardians-of-data-security-incident/
Cache Creek Casino Resort ,entertainment ,3-star hotel casino ,not disclosed,Not communicated,Not communicated,Oct-20,USA,Not communicated,https://www.cybersecurity-insiders.com/details-of-cache-creek-casino-data-breach/
eResearchTechnology,healthcare,global company specializing in clinical services and customizable medical devices to biopharmaceutical and healthcare organizations.,clinical trials impacted and delays on work for COVID-19 treatments ,Not communicated,Not communicated,Oct-20,USA,Not communicated,https://www.nytimes.com/2020/10/03/technology/clinical-trials-ransomware-attack-drugmakers.html
AAA Ambulance Service ,healthcare,"a healthcare system focused on quality medical care, continued medical education, and progressive EMS","the breach included individuals' first and last names combined with one or more of the following pieces of information: date of birth, social security number, driver's license number, financial account number, diagnosis information, medical treatment information... ",Not communicated,Not communicated,Oct-20,USA,Not communicated,https://www.databreaches.net/ms-aaa-ambulance-service-experienced-ransomware-attack/
Lake George Land Conservancy ,Non-profit,"an accredited not-for-profit land trust dedicated to permanently preserve the natural, scenic, historical and recreational resources of the Lake George Region.","""sensitive data"" including the Conservancy donors’ financial information had been stored on a secure, cloud-based server that wasn’t attacked.",bitcoin,No,Oct-20,USA,Not communicated,https://lglc.org/lglc-notice-of-records-breach/
Barnes & Noble,retail,"online bookstore for books, NOOK ebooks & magazines","Customer email addresses, billing and shipping addresses, telephone numbers, and transaction histories may have been exposed during the breach.",Not communicated,Not communicated,Oct-20,USA,Egregor,https://www.bleepingcomputer.com/news/security/barnes-and-noble-hit-by-egregor-ransomware-strange-data-leaked/
Manchester United Football Club ,Sports,UK EFL sports club,"encrypted almost all the club’s end user devices, resulting in the loss of locally stored data. Several servers were also affected, leaving the club unable to use their corporate email. The stadium CCTV and turnstiles were non-operational, which almost resulted in a fixture cancellation. ",400-bitcoin ,No,Nov-20,UK,Not communicated,https://www.ncsc.gov.uk/files/Cyber-threat-to-sports-organisations.pdf
Mattel,manufacturer,US toymaker ,"intrusion did not steal ""any sensitive business data or retail customer, supplier, consumer, or employee data.""",Not communicated,Not communicated,Nov-20,USA,Not communicated,https://www.zdnet.com/article/toy-maker-mattel-discloses-ransomware-attack/
Campari Group,beverage,beverage giant ,some personal and business data has been taken,$15 million,Not communicated,Nov-20,Itay ,Ragnar Locker,https://www.bitdefender.co.uk/blog/hotforsecurity/campari-staggers-to-its-feet-following-15-million-ragnar-locker-ransomware-attack
GEO Group,real estate investment,publicly traded C corporation that invests in private prisons and mental health facilities,"incident impacted only a small part of its network of 123 private prisons, processing centres, immigration detention centres and mental health facilities, spanning the US, South Africa, Australia and the UK",Not communicated,Not communicated,Nov-20,USA,Not communicated,https://eandt.theiet.org/content/articles/2020/11/private-prison-firm-hit-with-ransomware-attack/
X-Cart,Technology ,E-commerce software vendor ,"bringing down X-Cart stores running on top of the impacted systems. Some stores went down completely, while others reported issues with sending email alerts.",Not communicated,No,Nov-20,USA,Not communicated,https://www.zdnet.com/article/ransomware-hits-e-commerce-platform-x-cart/
 Flagship Group,housing/real-estate,UK based housing association,some data encryption and some personal customer and staff data has been compromised.,Not communicated,Not communicated,Nov-20,UK,REvil,https://www.edp24.co.uk/news/fresh-details-norfolk-based-flagship-homes-cyber-attack-6904518
Timberline Billing Service LLC,healthcare,medical billing company ,"data breach affecting up to 116,131 individuals.",Not communicated,Not communicated,Nov-20,USA,Not communicated,https://www.cybersecurity-insiders.com/ransomware-attack-on-timberline-billing-service/
Miltenyi Biotec,healthcare,Biomedical and clinical research company w/ employees from 28 countries are working to develop cell research and therapy products for clinicians and researchers working on covid-19 vaccines. ,actors have leaked 5% out of the 150 GB of data they claim to have stolen from the company's network on their data leak site,Not communicated,Not communicated,Nov-20,UK,Mount Locker,https://www.bleepingcomputer.com/news/security/biotech-research-firm-miltenyi-biotec-hit-by-ransomware-data-leaked/
Managed.com,Technology ,one of the biggest providers of managed web hosting solutions,has taken down all its servers in order to deal with a ransomware attack,"$500,000",Not communicated,Nov-20,USA,REvil,https://www.bleepingcomputer.com/news/security/revil-ransomware-hits-managedcom-hosting-provider-500k-ransom/
Americold ,logistics,"cold storage giant has around 13,000 employees offers supply-chain services and inventory management for retailers, food service providers, and producers","cyberattack impacting their operations, including phone systems, email, inventory management, and order fulfillment.",Not communicated,Not communicated,Nov-20,USA,Not communicated,https://www.cybersecurity-insiders.com/americold-suffers-a-ransomware-attack/
Ritzau,news,the largest independent news agency in Denmark ,ransomware group was able to compromise and encrypt roughly one-quarter of out of over 100 servers on Ritzau's network.,Not communicated,No,Nov-20,Denmark,Not communicated,https://www.bleepingcomputer.com/news/security/danish-news-agency-ritzau-refuses-to-pay-after-ransomware-attack/
US Fertility,healthcare,network of fertility clinics ,"an unauthorized party accessed data including patient names, addresses, birthdates and Social Security numbers",Not communicated,Not communicated,Nov-20,USA,Not communicated,https://healthitsecurity.com/news/us-fertility-sued-over-ransomware-attack-health-data-exfiltration
Advantech,Technology ,industrial automation and IoT chip maker ,hit its network and that company data had been exfiltrated.,$14 million,Not communicated,Nov-20,USA,Conti,https://www.bleepingcomputer.com/news/security/iot-chip-maker-advantech-confirms-ransomware-attack-data-theft/
Bailly Creat ,healthcare,pharmaceutical company specialized in the manufacturing and production of dry forms drugs.,not disclosed,Not communicated,Not communicated,Nov-20,France,Not communicated,https://www.zataz.com/un-nouveau-laboratoire-pharmaceutique-francais-pirate/
Umanis,Technology ,"a digital company specializing in data, digital and business solutions",not disclosed,Not communicated,Not communicated,Nov-20,France,Netwalker,https://www.lemagit.fr/actualites/252492134/Umanis-frappe-par-le-ransomware-NetWalker
GWG ,services provider,housing association ,Much of the company’s IT systems and data is affected; even backup servers and other data backups were encrypted,Not communicated,Not communicated,Nov-20,Germany,Not communicated,https://www.pressebox.de/pressemitteilung/g-data-software-ag/Ransomware-Angriff-bei-der-GWG-Wohnungsbaugesellschaft-Cybercrime-kommt-in-der-Mitte-der-Gesellschaft-an/boxid/1033145
Paris-Normandy ,news,newspaper publisher ,disrupted its paper editions,Not communicated,Not communicated,Nov-20,France,Not communicated,https://www.lemonde.fr/actualite-medias/article/2020/11/19/le-quotidien-paris-normandie-vise-par-une-cyberattaque_6060387_3236.html
GoDaddy ,Technology ,American publicly traded Internet domain registrar and web hosting company ,"affected 19 million users, 28,000 of its customers’ web hosting accounts were compromised",Not communicated,Not communicated,Nov-20,USA,Not communicated,https://krebsonsecurity.com/2020/11/godaddy-employees-used-in-attacks-on-multiple-cryptocurrency-services/
GenRx Pharmacy ,healthcare,healthcare organisation ,"malicious hackers were able to remove a number of files, including healthcare information the pharmacy used to process and ship prescribed products to patients. Data was breached  ",Not communicated,Not communicated,Dec-20,USA,Not communicated,https://www.businesswire.com/news/home/20201218005029/en/GenRx-Pharmacy-Issues-Data-Security-Incident-Notice
Whirlpool,manufacturing,Home appliance company,"the cyber gang has posted two files with documents related to employee benefits, accommodation requests, medical information requests, background checks, and moreto its wall-of-shame news site",Not communicated,Not communicated,Dec-20,USA,Nefilim ,https://www.bleepingcomputer.com/news/security/home-appliance-giant-whirlpool-hit-in-nefilim-ransomware-attack/
K12,education,"provider of virtual learning for many online public schools, as well as homeschooling and online private school.","accessed ""certain parts"" of their corporate back-office systems, which may have compromised ""some student and employee information on those systems,"" cyber insurance provider to make a payment to the ransomware attacker",Not communicated,Yes,Dec-20,USA,Not communicated,https://www.techtarget.com/searchsecurity/news/252492978/Online-education-vendor-K12-hit-with-ransomware-pays-ransom?track=NL-1820&ad=936823&asrc=EM_NLN_141498622&utm_medium=EM&utm_source=NLN&utm_campaign=20201202_Delivery-related+phishing+scams+skyrocket%253B+Plus%252C+ransomware+attack+targets+online+education+vendor
Kmart,retail,US retailer ,"encrypted devices and servers on the network. unknown if the attackers stole data, how many devices were encrypted",Not communicated ,Not communicated,Dec-20,USA,Egregor ,https://www.bleepingcomputer.com/news/security/kmart-nationwide-retailer-suffers-a-ransomware-attack/
Randstad,recruitment ,the world’s largest staffing agency,Unencrypted files were stolen during the attack and a subset of the data was later published.,Not communicated ,Not communicated,Dec-20,Netherlands,Egregor,https://www.bleepingcomputer.com/news/security/largest-global-staffing-agency-randstad-hit-by-egregor-ransomware/
Greater Baltimore Medical Center ,healthcare,hospital,a GBMC nurse who spoke to the press anonymously said that the attack had set the facility back decades.Hospital said it doesn”t believe any patient information has been compromised.,Not communicated ,Not communicated,Dec-20,USA,Not communicated,https://www.cbsnews.com/baltimore/news/gbmc-ransomware-cyberattack-nurse-speaks-latest/
NetGain Technologies ,Technology ,Managed IT Services provider ,forced to take some of its data centers offline following attacks ,Not communicated ,Not communicated,Dec-20,USA,Not communicated,https://www.datacenterdynamics.com/en/news/netgain-takes-data-centers-offline-following-ransomware-attack/
Haberdashers’ Monmouth Schools,education,independent schools group in Wales ,hackers deleted files belonging to staff and pupils and encrypted onsite backups,"£500,000 - £1 million ",No,Dec-20,UK,REvil,https://blocksandfiles.com/2020/12/09/airgapped-defence-helps-schools-in-ransomware-attack/
TSYS,Finance,the largest third-party payment processor for issuing banks in North America,The attackers claimed to have published over 10 gigabytes of TSYS data,Not communicated,Not communicated,Dec-20,USA,Conti,https://www.pymnts.com/news/retail/2022/data-brief-amazons-prime-day-traffic-held-up-while-walmart-weekend-fell-24/
Habana Labs,Technology ,Intel-owned AI processor developer,hackers leaked 53 GB of company data and in a threat posted to their leaked data site they stated that Habana Labs had 72hrs to stop the data leaking process. ,Not communicated ,Not communicated,Dec-20,USA,Pay2Key ,https://www.bleepingcomputer.com/news/security/intels-habana-labs-hacked-by-pay2key-ransomware-data-stolen/
Hurtigruten,entertainment ,Norwegian cruise company ,left some of its systems down around the world and may also be facing the possibility that its attacks have exfiltrated sensitive data,Not communicated ,Not communicated,Dec-20,Norway,Not communicated,https://www.bitdefender.co.uk/blog/hotforsecurity/cruise-line-operator-hurtigruten-crippled-in-ransomware-attack
Symrise ,food & beverage,Germany based flavour and fragrance that generated €3.4 billion in revenue for 2019 ,attackers allegedly stole 500 GB of unencrypted files and encrypted close to 1000 devices. Images of the stolen files were posted on the attackers data leak site.,Not communicated ,Not communicated,Dec-20,Germany,Clop,https://www.bleepingcomputer.com/news/security/flavors-designer-symrise-halts-production-after-clop-ransomware-attack/
Forward Air,logistics,"scheduled, expedited LTL service for airlines, forwarders and related logistics businesses",led to huge disruptions to ForwardAir's operations as drivers and employees couldn't access the necessary documents to clear transports through customs.,Not communicated,Not communicated,Dec-20,USA,Hades,https://www.zdnet.com/article/trucking-company-forward-air-said-its-ransomware-incident-cost-it-7-5-million/
General Medical Laboratory (AML),healthcare,a laboratory working closely on the management of the Covid-19 pandemic,"installed ransomware on the lab’s website, bringing it to a standstill. It remains unclear if the attack was also aimed at data theft.",Not communicated,Not communicated,Dec-20,Belgium,Clop,https://proteuscyber.com/pl/privacy-database/news/3012-antwerp-laboratory-becomes-latest-victim-of-cyber-attack
Amey,infrastructure/engineering,UK-based infrastructure support service provider ,"Malicious hackers successfully removed some files that included patient information including first and last name, address, phone number, date of birth, gender, allergies, medication list, health plan information, and prescription information.",Not communicated ,Not communicated,Dec-20,UK,Mount Locker ,https://www.brusselstimes.com/147433/antwerp-laboratory-becomes-latest-victim-of-cyber-attack
Amg Energia,Oil/Gas,provides energy utility services,not disclosed,Not communicated,Not communicated,Dec-20,Italy,Not communicated,https://www.italpress.com/palermo-attacco-informatico-ai-sistemi-di-amg-energia/
Olympia House,healthcare,alcohol rehabilitation and drug treatment center ,"types of protected health information may have included names, addresses, dates of birth, Social Security numbers, financial information, health insurance information, as well as medical history and treatment information.",Not communicated,Not communicated,Dec-20,USA,NetWalker,https://www.databreaches.net/ca-olympia-house-notifying-patients-about-ransomware-attack-discovered-in-early-august/
Innovaphone Limited,manufacturer,specialist for individualized and sophisticated business communications solutions in the field of IP telephon,may have gained access to customer data,Not communicated,Not communicated,Dec-20,Germany,Not communicated,https://www.databreaches.net/nl-cyber-%E2%80%8B%E2%80%8Battack-hits-ip-telephony-supplier-innovaphone/
"Agency for Community Treatment Services, Inc.",healthcare,Behavioral Health Services for youth and adults with substance abuse and mental health issues ,the investigation did not uncover any specific evidence to indicate patient data had been accessed or exfiltrated.,Not communicated,Not communicated,Dec-20,USA,Not communicated,https://www.prnewswire.com/news-releases/agency-for-community-treatment-services-inc-notification-of-data-security-incident-301198356.html
Apex Laboratory,healthcare,At-home laboratory services provider,"listed data taken that contained personal and health information for some patients, including names, dates of birth, phone numbers, Social Security numbers, and test results.",Not communicated ,Not communicated,Jan-21,USA,DoppelPaymer,https://www.securityweek.com/apex-laboratory-says-patient-data-stolen-ransomware-attack
OmniTRAX,logistics,rail operator and logistics provider ,"hit by a ransomware attack that targeted its corporate parent company, Broe Group. Ransom group posted stolen data from a leak site",Not communicated ,No,Jan-21,USA,Conti,https://www.freightwaves.com/news/ransomware-attack-hits-short-line-rail-operator-omnitrax
AKVA Group,Technology ,global supplier of technology to the aquaculture industry,attackers have obtained production data (ERP system),Not communicated ,Not communicated,Jan-21,Norway,Not communicated,https://www.rastechmagazine.com/cyber-attacks-cost-akva-us6m/
Dassault Falcon Jet Corp,logistics,business jets,"Compromised data included information belonging to employees such as name, personal and company email address, home address, driver’s license number, passport information, data of birth, etc.",Not communicated,Not communicated,Jan-21,USA,Ragnar Locker,https://www.bleepingcomputer.com/news/security/dassault-falcon-jet-reports-data-breach-after-ransomware-attack/
Wentworth Golf and Country Club,entertainment ,"one of the most exclusive clubs in England of 4000 members who include, high profile celebrities, sports stars, and top business people","The breached information includes members’ names, dates of birth, home addresses, email addresses and phone numbers, as well as the last four digits of their bank account details.",Unknown in Bitcoin,No,Jan-21,UK,Not communicated,https://www.itgovernance.co.uk/blog/wentworth-golf-club-hit-by-ransomware
WestRock,packaging,one of the world’s largest paper and packaging companies ,"actions included proactively shutting down certain systems in an abundance of caution, as well as taking steps to supplement existing security monitoring, scanning and protective measures. The Company also maintains a variety of insurance policies, including cyber insurance and business interruption insurance.",Not communicated ,Not communicated,Jan-21,USA,Not communicated,https://ir.westrock.com/press-releases/press-release-details/2021/WestRock-Provides-Update-on-Ransomware-Incident-8dfde2fca/default.aspx
Palfinger,manufacturing,Hydraulics Engineering company,email systems were the worst hit in the file encryptingattack. Company’s IT staff is confident that they could recover all the systems through backups without the need to pay a single penny to hackers.,Not communicated ,No,Jan-21,Austria,Not communicated,https://www.securityweek.com/crane-maker-palfinger-says-cyberattack-had-massive-impact-it-infrastructure
UK Research and Innovation (UKRI) ,education/research,the national funding agency investing in science and research in the UK.,"unsure if data including grant applications and review information contained in the portals, financial information, as well as expense claims were exfiltrated during the attack.",Not communicated ,Not communicated,Jan-21,UK,Not communicated,https://www.zdnet.com/article/uk-research-and-innovation-suffers-ransomware-attack/
DSC Logistics,logistics,third-party logistics provider and supply chain management company ,protected health data and personal information of more than 60K members was accessed,Not communicated ,No,Jan-21,USA,Egregor,https://www.freightwaves.com/news/ransomware-attack-targets-major-us-logistics-firm-dsc
Serco,space,"contractor for the provision of government services, most prominently in the sectors of health, transport, justice, immigration, space, defence and citizens services, including customers like NATO or the Belgian Army",1TB of data compromised,Not communicated,Not communicated,Jan-21,UK,Babuk ,https://thestack.technology/serco-hacked-ransomware/
IObit ,Technology ,innovative system utilities and security software for superior PC performance and security,IObit forums were hacked and threat actors emailed all of the IObit forum users with a free software promotion linking to a ransomware installer hosted on IObit's forums.,"$100,000 in DERO ",Not communicated,Jan-21,USA,DeroHE,https://www.bleepingcomputer.com/news/security/ransomware-gang-taunts-iobit-with-repeated-forum-hacks/
British Mensa ,society,"The High IQ Society, The only qualification for membership of Mensa is a high IQ",Several stashes of Mensa personal data have been posted onto the Pastebin website,Not communicated,Not communicated,Jan-21,UK,Not communicated,https://grahamcluley.com/poor-password-security-mensa/
Finalyse ,finance,"Provider of financial advisory services intended to incorporate changes and innovations in valuation, risk and compliance",98 GB Avaddon claims to have exfiltrated.,Not communicated,No,Jan-21,Belgium,Avaddon,https://www.databreaches.net/belgian-consultancy-finalyse-emerges-unscathed-from-ransomware-attack/
Ucar ,services provider,Vehicle rental firm,data may have been exfiltrated ,Not communicated ,Not communicated,Jan-21,France,REvil,https://librexpression.fr/ransomware-une-annee-record
Bricker & Eckler ,law,leading law firm,the attackers gained access to files containing client information and exfiltrated some data from the law firm’s systems. Some consequences on healthcare clients,Not communicated ,Not communicated,Jan-21,USA,Not communicated,https://www.hipaajournal.com/phi-of-more-than-420000-individuals-potentially-compromised-in-ransomware-attack-on-ohio-law-firm/
Automatic Funds Transfer Services (AFTS),finance,payment processor used by many cities government agencies across the US,The hackers began selling the stolen data on their leak site and claim to have exfiltrated sensitive financial documents.,Not communicated ,Not communicated,Feb-21,USA,Cuba,https://www.paymentsdive.com/news/seattle-based-payments-company-suffers-ransomware-attack/596152/
Foxtons Group,real estate ,estate agents’ company ,"The data reportedly included over 16,000 credit card details even though a statement from the company had previously stated that the data was considered old and of no threat to customers.",Not communicated ,No,Feb-21,UK,Egregor ,https://inews.co.uk/news/business/foxtons-group-customers-financial-details-leaked-dark-web-855370
SN Servicing Corporation ,finance,Mortgage loan servicing company ,"uncovered data related to 2018 billing statements and reimbursement notifications to customers, including names, address, loan numbers, balance information and billing information such as estimated, owed, or paid charges.  ",Not communicated ,No,Feb-21,USA,Egregor,https://www.scmagazine.com/news/malware/mortgage-loan-servicing-company-discloses-ransomware-attack-to-multiple-states
Ness Digital Engineering Company,Technology ,"IT provider, their clients who include government ministries, hospitals, and local municipalities ","their clients who include government ministries, hospitals, and local municipalities were not compromised in the attack",Not communicated ,Not communicated,Feb-21,USA,Ragnar Locker,https://www.jpost.com/israel-news/ransomware-attack-targets-israeli-branch-of-ness-digital-company-report-658217
CD Projekt,entertainment ,video game company,accessed the source code for popular games including Cyberpunk 2077,Not communicated ,No,Feb-21,Poland,HelloKitty,https://www.engadget.com/cd-projekt-red-data-breach-online-114047285.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAGzCn9FQPC63cRxpgbAlAt7v6zAclD837yG7tHlXULe5xBL2ZR6D3vtnbddvMx5Z3Zqxm_cBP6u8cjnDDofAKgrPyG4pkejy764_kJs1sX-89p9Yshwp8oYZaANKazj09hUYyjx-TVVdx03o93bdkYWBt7Eui1FVr6XR0pGZ1IEJ
Mutuelle Nationale des Hospitaliers (MNH) ,healthcare,health insurance company ,caused their websites and telephone platform to become unavailable,Not communicated ,Not communicated,Feb-21,France,RansomExx ,https://www.grcworldforums.com/security/french-insurer-goes-offline-to-protect-data-following-ransomexx-ransomware-attack/923.article
Dax-Côte d’Argent Hospital Center,healthcare,private hospital,Major disruptions across their network and forced the hospital to only accept major emergencies. The facility was back to pen and paper following the attack.,$10 Million,No,Feb-21,France,Egregor,https://www.cpomagazine.com/cyber-security/hackers-demand-10-million-after-ransomware-attack-on-a-french-hospital-patients-referred-to-other-facilities/
Jones Day,law,International law firm ,The gang obtained 100 gigabytes of files from servers belonging to the firm and that they had begun publishing the exfiltrated data as proof of their successful attack,Not communicated ,Not communicated,Feb-21,USA,Clop,https://threatpost.com/stolen-jones-day-law-firm-files-posted/164066/
Kia Motors America ,manufacturing,car manufacturing company,company and parent company deny the attack and justify disruption as server maintenance ,$20 million ,Not communicated,Feb-21,USA,DoppelPaymer,https://www.cpomagazine.com/cyber-security/kia-motors-america-suffers-a-20-million-suspected-doppelpaymer-ransomware-attack/
Underwriters Laboratories,healthcare,global safety science company ,"took precautions to address the situation, including shutting down systems. It is unknown whether they stole unencrypted files.",Not communicated ,No,Feb-21,USA,Not communicated,https://www.bleepingcomputer.com/news/security/underwriters-laboratories-ul-certification-giant-hit-by-ransomware/
TietoEVRY,Technology ,IT provider ,25 customers were impacted and at this time it does not seem that any critical or personal data was accessed or stolen by the attackers,Not communicated ,Not communicated,Feb-21,Finland,Not communicated,https://www.bleepingcomputer.com/news/security/finnish-it-services-giant-tietoevry-discloses-ransomware-attack/
ATFS,finance,"independent treasury advisers, providing a range of services to the housing, education and wider public sectors.","significant disruption to its business operations, the website has been unavailable for a while and payment processing was impacted",Not communicated,Not communicated,Feb-21,UK,Cuba,https://www.bleepingcomputer.com/news/security/us-cities-disclose-data-breaches-after-vendors-ransomware-attack/
Stanford Medicine ,healthcare,private medicine centre derivating from Stanford University,"leaked personal information such as names, addresses, email addresses, Social Security numbers, and financial information;",Not communicated ,Not communicated,Feb-21,USA,Clop,https://www.bleepingcomputer.com/news/security/ransomware-gang-leaks-data-from-stanford-maryland-universities/
Trigano,manufacturer,vehicle manufacturer ,"ransomware infection blocked parts of the its servers causing some of its operations in France, Italy, Spain and Germany to slow down or stop production entirely.",$2 million ,Not communicated,Feb-21,France,REvil,https://www.databreaches.net/the-trigano-company-victim-of-a-cyberattack-the-tournon-sur-rhone-plant-shut-down/
Afnor ,standardisation ,standardisation organisation,"shutting down the services it exhibits on the Internet, starting with its website.",Not communicated ,Not communicated,Feb-21,France,RYUK,https://www.databreaches.net/cyber-%E2%80%8B%E2%80%8Battack-afnor-admits-to-being-confronted-with-ryuk-ransomware/
Florida Studio Theatre ,entertainment ,"professional, non-profit theater company ",business interuption due to having to shut down servers,Not communicated ,Not communicated,Feb-21,USA,DoppelPaymer,https://www.databreaches.net/florida-studio-theatre-recovering-from-ransomware-attack/
Manutan Group ,supplier,distribution of equipment and supplies for companies and local authorities.,"wo-thirds of its 1,200 servers had succumbed, employees were left without work overnight not knowing when they would be able to return",Not communicated ,Not communicated,Feb-21,France,DoppelPaymer,https://www.computerweekly.com/news/252510116/Recovering-from-ransomware-One-organisations-inside-story
Prism HR,services provider,"payroll company which counts over 80,000 organizations as customers "," disruption has affected 200 PEO clients across the country, and that the most immediate concern is helping PEOs ensure their customers can process payrolls this week.",Not communicated ,Not communicated,Mar-21,USA,Darkside,https://krebsonsecurity.com/2021/03/payroll-hr-giant-prismhr-hit-by-ransomware/
Allergy Partners ,healthcare,based organization which has clinics across 20 states," stolen documents contained patient information, like names, contact details, health insurance information, driver’s licenses, Social Security numbers, financial account data, and or clinical information.",$1.75 million,Not communicated,Mar-21,USA,Not communicated,https://healthitsecurity.com/news/allergy-partners-data-stolen-during-ransomware-attack-ehr-outage
Flagstar,finance,bank and mortgage lender (Accellion attack),"actors accessed sensitive customer details, including full names and social security numbers, impacting 1.5 million customers",Not communicated ,Not communicated,Mar-21,USA,Clop,https://www.bleepingcomputer.com/news/security/flagstar-bank-discloses-data-breach-impacting-15-million-customers/
Standley Systems ,Technology ,IT services provider ,"obtained sensitive data including more than 1,000 social security numbers",Not communicated ,Not communicated,Mar-21,USA,Revil,https://www.crn.com/news/security/revil-ransomware-attacks-msp-standley-systems-leaks-ssns
SEPE,government ,government agency for labour,affected more than 700 agency offices across Spain,Not communicated ,Not communicated,Mar-21,Spain,RYUK,https://www.businessinsider.com/sepe-ryuk-hack-cyber-crime-online-threat-device-agency-code-2021-3?r=US&IR=T
Qualys,Technology ,cloud security company ,"shared screenshots of stolen files including invoices, tax documents and purchase orders on its data leak site as proof of the hack",Not communicated ,Not communicated,Mar-21,USA,Clop,https://www.cpomagazine.com/cyber-security/infosec-firm-qualys-customer-data-leaked-in-a-suspected-ransomware-attack/
Molson Coors ,food & beverage,Beer maker ,"disruption to their operations, including the production and shipment of beer",Not communicated,Not communicated,Mar-21,USA,Not communicated,https://www.cpomagazine.com/cyber-security/a-suspected-ransomware-cyber-attack-shuts-down-worlds-fifth-largest-beermaker-molson-coors/
CNA,Finance, financial corporation ,"over 15,000 devices on their network were encrypted and remote employees logged into the VPN were also affected.",$40 million,Yes,Mar-21,USA,Evil Corp ,https://www.bloomberg.com/news/articles/2021-05-20/cna-financial-paid-40-million-in-ransom-after-march-cyberattack#xj4y7vzkg
FatFace,retail,Clothing retailer ,The retailer has faced criticism for failing to disclose the incident in a timely matter and for attempting to insist that affected customers keep the matter quiet.,$2 million ,Yes,Mar-21,France,Conti,https://www.computerweekly.com/news/252498463/Retailer-FatFace-pays-2m-ransom-to-Conti-cyber-criminals
Royal Dutch Shell ,Oil/Gas,multinational oil and gas company,Some of the leaked data included employee visa and passport information.,Not communicated ,Not communicated,Mar-21,UK,Clop,https://www.theregister.com/2021/03/29/shell_clop_ransomware_leaks_update/
Boggi Milano ,retail,brand operating around 200 shops in 38 countries and is among the best known premium Italian menswear brands. ,hackers claimed to have stolen 40 GBs of data from the company.,Not communicated,Not communicated,Mar-21,Italy,Ragnarok,https://threatpost.com/ragnarok-ransomware-boggi-milano-menswear/165161/
Asteelflash,manufacturer,multinational electronics contract manufacturing company specializing in printed circuit board assembly and also offering design and aftermarket services.,no proof that any data was exfiltrated or disclosed.,$24 million in Monero crypto,Not communicated,Apr-21,France,REvil,https://heimdalsecurity.com/blog/asteelflash-hit-by-revil-ransomware-attack/
CompuCom,Technology ,technology managed services provider and product reseller,service outages and users disconnecting from the MSP’s network,Not communicated ,Not communicated,Mar-21,USA,DarkSide,https://www.crn.com/news/security/compucom-hit-by-darkside-ransomware-tells-customers-report
